description,item_id,span,inflRank,upSh12m,upCh12m,upShLR,upChLR,upSh1m,upCh1m,date,nPrices,desc_short
KEROSENE - 1000L DELIVERED,420405,284,1,1,.93103719,.57443237,.24433544,.89041096,.096334144,416,73,
SHOP MILK-WHOLE MILK-4PT/2LTR,211709,392,2,1,.30222964,.43558228,.095144697,.089361705,.091887891,416,235,Whole milk
CHICKEN KIEV 2 PACK 240-325G,211026,92,3,1,.40079072,.30804724,.32021064,.37572256,.069108702,416,173,
HARD REGIONAL CHEESE PER KG,211509,224,4,1,.30764127,.43083432,.11208757,.25,.10821724,416,120,
H K LIVER PER KG STATE TYPE,211027,92,5,1,.39683416,.38969213,.2382367,.25333333,.27169764,416,75,
MILK SEMI-PER 2 PINTS/1.136 L,211710,392,6,1,.43561238,.43742216,.077921547,.1641791,.072095066,416,134,Semi-skimmed milk
BUTTER 250G SPEC COO,211306,116,7,1,.28158543,.43352631,.14460325,.35779816,.13428701,416,218,
WHOLEMEAL SLICED LOAF BRANDED,210113,224,8,.99130434,.19898047,.48540124,.12827989,.1953125,.13688405,416,128,
FROZEN BREAD/BAT FISH 400-550G,211211,152,9,.98843932,.22655264,.38184386,.20936051,.34031415,.18714209,416,191,
HAND ROLLING TOBACCO PACK 30GM,320206,320,10,.984375,.14765383,.94099045,.073961899,.043478262,.015116621,416,138,
CIGARETTES 8,320108,413,11,.98425198,.083364233,.99152589,.070804887,.0072463769,.080057174,416,138,Cigarettes
20 FILTER - OTHER BRAND,320122,176,12,.9765625,.064219393,.97542393,.06704323,.022222223,.039748739,416,135,
FISH & CHIPS TAKEAWAY,220301,414,13,.97560978,.2085001,.66502881,.084669024,.11340206,.069895826,416,97,"Fish and chips, takeaway"
JAR OF JAM-340-454G,212106,320,14,.97540987,.38092756,.39715427,.15292773,.11363637,.11795699,416,132,
LARGE LOAF-WHITE-UNSLICED-800G,210102,414,15,.97402596,.10321265,.52140337,.10251868,.1,.057373531,416,80,White loaf
CHILLED READY MEAL-MEAT-SERVS1,212936,164,16,.97142857,.20660973,.4571825,.15158282,.2857143,.066402756,416,112,
OLIVE OIL - 500ML - 1 LITRE,211408,188,17,.969697,.28844115,.41500625,.19510135,.27230048,.088910967,416,213,
WHITE SLICED LOAF BRANDED 750G,210111,224,18,.96946567,.1903712,.50936359,.13625306,.13669065,.101538,416,139,
DRY SPAGHETTI OR PASTA 500G,210204,414,19,.96832579,.47847816,.39144322,.25554883,.22270742,.18006125,416,229,Spaghetti
CIGARETTES 15,320115,248,20,.96062994,.080816269,.96888977,.057606291,.022556391,.055242915,416,133,
ROTISSERIE CHICKEN [WHOLE],210913,158,21,.95999998,.11923215,.4237732,.12231849,.037037037,.2,416,27,
MIXER DRINK BOTTLE 1L EG TONIC,212022,104,22,.95555556,.2410527,.3894684,.1741097,.21875,.16332436,416,224,
MINERAL WATER STILL 1.5-2L,212010,344,23,.95555556,.38560283,.32577997,.18626948,.27906978,.12337849,416,86,
CHILLED READY MEAL-FISH/VEG,212937,164,24,.954023,.22353271,.44158638,.1727556,.22857143,.076204807,416,105,
DOG FOOD-CAN-385-400GM,430613,320,25,.9528302,.52275485,.41465566,.10774969,.26457399,.071474329,416,223,
5 CIGARS: SPECIFY BRAND,320205,413,26,.95192307,.096610442,.95892841,.06486807,.025423728,.1777261,416,118,Cigars
PREMIUM LAGER - PINT 4.3-7.5%,310110,228,27,.95145631,.083073974,.76530248,.051776748,.077777781,.063153423,416,270,
WILD BIRD SEED PACK 500G-2KG,430625,104,28,.94444442,.28177696,.31531468,.5861094,.16964285,.17289393,416,112,
FRESH FISH-SALMON FILLETS-KG,211105,260,29,.94,.25086004,.45854303,.1900419,.17142858,.047555279,416,105,
A4 PRINTER PAPER (500 REAM),430527,176,30,.93805307,.30161127,.33147746,.21806696,.03846154,.093528062,416,130,
FRESH DOUBLE CREAM 250ML-300ML,211815,164,31,.93548387,.18946788,.49499997,.11484423,.29838711,.063349135,416,124,
CHEDDAR-HOME PRODUCED PER KG,211501,414,32,.93495935,.38275802,.51335281,.14365575,.2184874,.068318218,416,119,Cheddar
FLOUR-SELF-RAISING-1.5KG,210201,414,33,.93442625,.32959378,.38265198,.19736154,.16541353,.092986606,416,133,Flour
KITCHEN ROLL PK OF 2-4 SPECIFY,430533,224,34,.93333334,.39168277,.4617717,.25092024,.36274511,.18284261,416,102,
SPREADABLE BUTTER,211305,116,35,.93301433,.3297306,.43438676,.26200405,.51598173,.14897415,416,219,
MARGARINE/LOW FAT SPREAD-500G,211407,320,36,.92391306,.41024065,.4261044,.26197952,.39772728,.32385495,416,88,
"BAKED BEANS, 400-425G TIN",212603,414,37,.92354739,.40479434,.49809945,.1388469,.059999999,.081168242,416,350,Baked beans
CANNED SWEETCORN 198-340G,212608,414,38,.91935486,.26375037,.38895392,.12842362,.076305218,.1281292,416,249,Tinned sweetcorn
T'AWAY COOKED SAVOURY PASTRY,220327,55,39,.91558444,.11700569,.56163782,.093668222,.036842104,.091751963,416,190,
VARNISH-CLEAR GLOSS-750ML-1LTR,410621,356,40,.91452992,.16928028,.4642581,.16919158,.11811024,.10653853,416,127,
VODKA (PER NIP) SPECIFY ML,310302,405,41,.91079813,.11025976,.70648646,.074872315,.053956833,.042362329,416,278,Vodka shot
CANNED FRUIT-400-450G,212807,320,42,.91011238,.17473732,.37165084,.16954783,.41552511,.094854362,416,219,
PLAIN BISCUITS-200-300G,210302,414,43,.90178573,.25193363,.47792965,.15189077,.10655738,.07124532,416,122,Plain biscuits
MAYONNAISE 390-500G/420-540MLS,212930,260,44,.89898992,.3327502,.37607929,.20809706,.23039216,.26104328,416,204,
IN STORE CAFETERIA MEAL,220120,190,45,.89655173,.1785543,.53365493,.09259633,.023809524,.043154776,416,84,
ALUMIN COOKING FOIL 290-300MM,430505,413,46,.89130437,.30993685,.44724405,.23511139,.21666667,.12676218,416,120,Aluminium foil
GIN PER NIP,310316,24,47,.88837206,.11263849,.69063228,.1282436,.04964539,.042004015,416,282,
SPIRIT BASED DRINK 275ML,310309,252,48,.8874172,.10248289,.61488491,.061237991,.043689322,.056571271,416,206,
"MOWER ELECTRIC, SPECIFY TYPE",630520,172,49,.88709676,.29280829,.40626076,.24710552,.28125,.25984776,416,96,
BURGER IN A BUN EAT IN OR TAKE,220328,32,50,.88516748,.2005529,.5335539,.18578388,.16356878,.14219601,416,269,
FRESH WHITE FISH FILLETS KG,211101,321,51,.88461536,.13679318,.50365305,.17211211,.13043478,.083717704,416,115,
INDIVIDUAL MEAT PIE,211011,414,52,.88387096,.27441522,.45120269,.17509203,.20994475,.2443563,416,181,Meat pie
WHOLE SPONGE CAKE NOT FROZEN,210320,272,53,.88235295,.20837234,.40723097,.19708544,.23684211,.12609902,416,114,
HOME KILLED BEEF-LEAN MINCE KG,210403,414,54,.88235295,.16124253,.44853935,.1631314,.27014217,.079457693,416,211,Lean mince
FRESH VEG-CUCUMBER-WHOLE,212510,414,55,.8814016,.27470982,.41674083,.24342063,.0971867,.27391222,416,391,Cucumber
FRESH/CHILLED CHICKEN  PER KG,210905,403,56,.88095236,.25250873,.42746127,.15578896,.23699422,.10102052,416,173,Chicken
CREAM CRACKERS PACK 200G-300G,210301,414,57,.87719297,.21674681,.47750008,.15838794,.2248062,.19302881,416,129,Cream crackers
CANNED SOUP-390-425G,212910,414,58,.87692308,.38299778,.5151177,.11562571,.043165468,.2082728,416,139,"Soup, can"
LIQUEUR PER NIP   SPECIFY ML,310307,300,59,.87619048,.12007065,.62079245,.076253615,.046931408,.084830523,416,277,
TAKEAWAY CHICKEN & CHIPS,220326,128,60,.875,.17231625,.47511736,.11370569,.048780486,.044893358,416,82,
SMOKELESS FUEL 50KG,420103,413,61,.87301588,.29726616,.66618633,.07040593,.25555557,.14497367,416,90,Smokeless fuel
FROZEN BEEFBURGERS PACK OF 4,210414,368,62,.87179488,.17791206,.36144221,.27499944,.32499999,.12169406,416,120,Frozen burgers
CERAMI TILES 15X15-25X50CM BOX,410637,92,63,.87037039,.55498421,.35177436,.36144784,.19327731,.48136982,416,119,
FROZ VEG BURGER/GRILL 180-454G,212928,296,64,.87027025,.25518969,.33529809,.19528541,.24336283,.21775319,416,226,
TAKEAWAY COFFEE LATTE,220321,235,65,.86874998,.16680065,.5112204,.093117431,.15306123,.060772184,416,196,
BOTTLED PREMIUM LAGER 4.3-7.5%,310111,216,66,.86734694,.098613538,.67810881,.061291561,.060606062,.083600312,416,264,
KITCH WALL UNIT WIDTH 800-1000,430139,116,67,.86597937,.49106103,.54818469,.26406282,.24545455,.15551698,416,110,
LAGER - PINT 3.4-4.2%,310109,228,68,.86574072,.083129972,.74915451,.058468521,.050541516,.045467019,416,277,
"COLA DRINK, DIET 1.25-2LTR",212026,44,69,.86567163,.35723621,.47453219,.24983497,.27272728,.26544532,416,231,
YOGHURT-SMALL INDIVIDUAL,211814,164,70,.86554623,.2344307,.36973861,.18961798,.17355372,.1545056,416,121,
FRESH BONELESS CHICKEN BREAST,210910,236,71,.86503065,.22590542,.36881688,.12973638,.15000001,.069134809,416,200,
