itemName,price,p,newDate
Lettuce,10,.67750001,1988-02-01
Lettuce,1020,.012916684,1988-02-01
Lettuce,2030,.029999971,1988-02-01
Lettuce,3040,.023333311,1988-02-01
Lettuce,4050,.032916665,1988-02-01
Lettuce,5060,.03458339,1988-02-01
Lettuce,6070,.050416648,1988-02-01
Lettuce,7080,.07249999,1988-02-01
Lettuce,8090,.042916656,1988-02-01
Cigarettes,10,1.395,1988-02-01
Cigarettes,1020,.0033333302,1988-02-01
Cigarettes,2030,.015416622,1988-02-01
Cigarettes,3040,.014583349,1988-02-01
Cigarettes,4050,.033750057,1988-02-01
Cigarettes,5060,.032083273,1988-02-01
Cigarettes,6070,.028333426,1988-02-01
Cigarettes,7080,.019999981,1988-02-01
Cigarettes,8090,.0058332682,1988-02-01
Men's socks,10,1.1223077,1988-02-01
Men's socks,1020,.22576928,1988-02-01
Men's socks,2030,.23923075,1988-02-01
Men's socks,3040,.093846202,1988-02-01
Men's socks,4050,.21076918,1988-02-01
Men's socks,5060,.26000011,1988-02-01
Men's socks,6070,.32269216,1988-02-01
Men's socks,7080,.42192316,1988-02-01
Men's socks,8090,.33269238,1988-02-01
Lettuce,10,.65583336,1988-03-01
Lettuce,1020,.049583316,1988-03-01
Lettuce,2030,.029166639,1988-03-01
Lettuce,3040,.045416653,1988-03-01
Lettuce,4050,.02791667,1988-03-01
Lettuce,5060,.034166694,1988-03-01
Lettuce,6070,.021666646,1988-03-01
Lettuce,7080,.026250005,1988-03-01
Lettuce,8090,.03791666,1988-03-01
Cigarettes,10,1.3966666,1988-03-01
Cigarettes,1020,.0075000525,1988-03-01
Cigarettes,2030,.010833263,1988-03-01
Cigarettes,3040,.020416737,1988-03-01
Cigarettes,4050,.031666636,1988-03-01
Cigarettes,5060,.031666636,1988-03-01
Cigarettes,6070,.023750067,1988-03-01
Cigarettes,7080,.019999981,1988-03-01
Cigarettes,8090,.0066666603,1988-03-01
Men's socks,10,1.1615385,1988-03-01
Men's socks,1020,.21230769,1988-03-01
Men's socks,2030,.20307696,1988-03-01
Men's socks,3040,.15961528,1988-03-01
Men's socks,4050,.12807691,1988-03-01
Men's socks,5060,.17038476,1988-03-01
Men's socks,6070,.26884604,1988-03-01
Men's socks,7080,.37423086,1988-03-01
Men's socks,8090,.54269218,1988-03-01
Lettuce,10,.62583333,1988-04-01
Lettuce,1020,.039583325,1988-04-01
Lettuce,2030,.038749993,1988-04-01
Lettuce,3040,.035416663,1988-04-01
Lettuce,4050,.033333361,1988-04-01
Lettuce,5060,.067916632,1988-04-01
Lettuce,6070,.025000036,1988-04-01
Lettuce,7080,.023750007,1988-04-01
Lettuce,8090,.01791662,1988-04-01
Cigarettes,10,1.4116666,1988-04-01
Cigarettes,1020,.016250014,1988-04-01
Cigarettes,2030,.0070832968,1988-04-01
Cigarettes,3040,.01333344,1988-04-01
Cigarettes,4050,.042083263,1988-04-01
Cigarettes,5060,.035416722,1988-04-01
Cigarettes,6070,.02458334,1988-04-01
