date_quote_s,date_quote_e,date,date2,date4,quote_date,percentile,p,pWd,pWs,infl,inflW,item_id,period
198802,202207,1,01-02-1988,1988-02-01,198802,10,918.7298649996519,0,7.505823848674481,0,0,106,1988-2022
198802,202207,1,01-02-1988,1988-02-01,198802,20,1061.056293927133,0,8.645450539617741,0,0,106,1988-2022
198802,202207,1,01-02-1988,1988-02-01,198802,30,1165.96378223598,0,9.499913239291345,0,0,106,1988-2022
198802,202207,1,01-02-1988,1988-02-01,198802,40,1316.780738458037,0,10.87833775532636,0,0,106,1988-2022
198802,202207,1,01-02-1988,1988-02-01,198802,50,1475.108729332685,0,12.25438746506552,0,0,106,1988-2022
198802,202207,1,01-02-1988,1988-02-01,198802,60,1629.207253225148,0,13.57575462105888,0,0,106,1988-2022
198802,202207,1,01-02-1988,1988-02-01,198802,70,1795.144347541034,0,14.89209804851998,0,0,106,1988-2022
198802,202207,1,01-02-1988,1988-02-01,198802,80,2020.041198842227,0,16.82494744646101,0,0,106,1988-2022
198802,202207,1,01-02-1988,1988-02-01,198802,90,2369.295757316053,0,19.64031618076115,0,0,106,1988-2022
198802,202207,2,01-03-1988,1988-03-01,198803,10,936.7235119119287,0,7.616454504801368,0,0,106,1988-2022
198802,202207,2,01-03-1988,1988-03-01,198803,20,1070.713088206947,0,8.701680022895744,0,0,106,1988-2022
198802,202207,2,01-03-1988,1988-03-01,198803,30,1185.786741733551,0,9.682351097573701,0,0,106,1988-2022
198802,202207,2,01-03-1988,1988-03-01,198803,40,1332.484059169888,0,10.97486227004993,0,0,106,1988-2022
198802,202207,2,01-03-1988,1988-03-01,198803,50,1470.199284821749,0,12.22325873461523,0,0,106,1988-2022
198802,202207,2,01-03-1988,1988-03-01,198803,60,1635.487487070262,0,13.62817520531098,0,0,106,1988-2022
198802,202207,2,01-03-1988,1988-03-01,198803,70,1796.551180355251,0,14.92170973034081,0,0,106,1988-2022
198802,202207,2,01-03-1988,1988-03-01,198803,80,1994.979610018432,0,16.64529844366916,0,0,106,1988-2022
198802,202207,2,01-03-1988,1988-03-01,198803,90,2294.206239022315,0,19.15436550199956,0,0,106,1988-2022
198802,202207,3,01-04-1988,1988-04-01,198804,10,943.7648659348488,0,7.681362968891335,0,0,106,1988-2022
198802,202207,3,01-04-1988,1988-04-01,198804,20,1086.664463408291,0,8.838329869169684,0,0,106,1988-2022
198802,202207,3,01-04-1988,1988-04-01,198804,30,1206.640840634704,0,9.88282178821828,0,0,106,1988-2022
198802,202207,3,01-04-1988,1988-04-01,198804,40,1363.116997003555,0,11.31725014471886,0,0,106,1988-2022
198802,202207,3,01-04-1988,1988-04-01,198804,50,1486.993150785565,0,12.3633926334951,0,0,106,1988-2022
198802,202207,3,01-04-1988,1988-04-01,198804,60,1649.577511407435,0,13.71405285677611,0,0,106,1988-2022
198802,202207,3,01-04-1988,1988-04-01,198804,70,1828.679338820279,0,15.17636122268596,0,0,106,1988-2022
198802,202207,3,01-04-1988,1988-04-01,198804,80,2068.613044209778,0,17.2243592386294,0,0,106,1988-2022
198802,202207,3,01-04-1988,1988-04-01,198804,90,2387.136696584523,0,19.86299448692444,0,0,106,1988-2022
198802,202207,4,01-05-1988,1988-05-01,198805,10,949.5198598951101,0,7.732447340291401,0,0,106,1988-2022
198802,202207,4,01-05-1988,1988-05-01,198805,20,1098.4716264382,0,8.93289564098086,0,0,106,1988-2022
198802,202207,4,01-05-1988,1988-05-01,198805,30,1208.729252435267,0,9.850197210056649,0,0,106,1988-2022
198802,202207,4,01-05-1988,1988-05-01,198805,40,1365.583364263177,0,11.36536998528027,0,0,106,1988-2022
198802,202207,4,01-05-1988,1988-05-01,198805,50,1489.764635935426,0,12.38908832158631,0,0,106,1988-2022
198802,202207,4,01-05-1988,1988-05-01,198805,60,1659.12421207875,0,13.7850611015383,0,0,106,1988-2022
198802,202207,4,01-05-1988,1988-05-01,198805,70,1828.611387915909,0,15.17135768784647,0,0,106,1988-2022
198802,202207,4,01-05-1988,1988-05-01,198805,80,2058.914386726916,0,17.07555245246476,0,0,106,1988-2022
198802,202207,4,01-05-1988,1988-05-01,198805,90,2378.688858158886,0,19.80855714179779,0,0,106,1988-2022
198802,202207,5,01-06-1988,1988-06-01,198806,10,942.2153241634369,0,7.671621759327536,0,0,106,1988-2022
198802,202207,5,01-06-1988,1988-06-01,198806,20,1103.271848209202,0,8.974432160284778,0,0,106,1988-2022
198802,202207,5,01-06-1988,1988-06-01,198806,30,1211.038578204811,0,9.873536327584588,0,0,106,1988-2022
198802,202207,5,01-06-1988,1988-06-01,198806,40,1372.870866537094,0,11.42653799553955,0,0,106,1988-2022
198802,202207,5,01-06-1988,1988-06-01,198806,50,1518.600454002619,0,12.63331290339556,0,0,106,1988-2022
198802,202207,5,01-06-1988,1988-06-01,198806,60,1681.624790079892,0,13.95134905754094,0,0,106,1988-2022
198802,202207,5,01-06-1988,1988-06-01,198806,70,1849.455965407193,0,15.33932013354934,0,0,106,1988-2022
198802,202207,5,01-06-1988,1988-06-01,198806,80,2104.421219535172,0,17.54065894806263,0,0,106,1988-2022
198802,202207,5,01-06-1988,1988-06-01,198806,90,2454.322373874485,0,20.35165370010509,0,0,106,1988-2022
198802,202207,6,01-07-1988,1988-07-01,198807,10,948.0680646002293,0,7.768403489339107,0,0,106,1988-2022
198802,202207,6,01-07-1988,1988-07-01,198807,20,1088.094262950122,0,8.906428661975951,0,0,106,1988-2022
198802,202207,6,01-07-1988,1988-07-01,198807,30,1185.756547041237,0,9.671198653893953,0,0,106,1988-2022
198802,202207,6,01-07-1988,1988-07-01,198807,40,1358.803832396865,0,11.31737442177109,0,0,106,1988-2022
198802,202207,6,01-07-1988,1988-07-01,198807,50,1497.119432091713,0,12.45211479393038,0,0,106,1988-2022
198802,202207,6,01-07-1988,1988-07-01,198807,60,1644.179808564484,0,13.63300860643358,0,0,106,1988-2022
198802,202207,6,01-07-1988,1988-07-01,198807,70,1825.419349126518,0,15.16899080550502,0,0,106,1988-2022
198802,202207,6,01-07-1988,1988-07-01,198807,80,2047.075054295361,0,17.07826495513291,0,0,106,1988-2022
198802,202207,6,01-07-1988,1988-07-01,198807,90,2413.370583795011,0,20.03547892171628,0,0,106,1988-2022
198802,202207,8,01-09-1988,1988-09-01,198809,10,990.6180840805173,0,8.129933041018376,0,0,106,1988-2022
198802,202207,8,01-09-1988,1988-09-01,198809,20,1115.791750229895,0,9.153116977795435,0,0,106,1988-2022
198802,202207,8,01-09-1988,1988-09-01,198809,30,1241.678612962365,0,10.141813094604,0,0,106,1988-2022
198802,202207,8,01-09-1988,1988-09-01,198809,40,1411.229984760284,0,11.76110941799561,0,0,106,1988-2022
198802,202207,8,01-09-1988,1988-09-01,198809,50,1549.841264307499,0,12.90527452667448,0,0,106,1988-2022
198802,202207,8,01-09-1988,1988-09-01,198809,60,1718.044839225709,0,14.27751627738326,0,0,106,1988-2022
198802,202207,8,01-09-1988,1988-09-01,198809,70,1897.426419295371,0,15.78424486784934,0,0,106,1988-2022
198802,202207,8,01-09-1988,1988-09-01,198809,80,2102.038302861154,0,17.44037583423051,0,0,106,1988-2022
198802,202207,8,01-09-1988,1988-09-01,198809,90,2528.741066850722,0,20.962498810135,0,0,106,1988-2022
198802,202207,9,01-10-1988,1988-10-01,198810,10,976.5102292075753,0,8.019518050910847,0,0,106,1988-2022
198802,202207,9,01-10-1988,1988-10-01,198810,20,1113.627650350332,0,9.146241000933514,0,0,106,1988-2022
198802,202207,9,01-10-1988,1988-10-01,198810,30,1249.497343868017,0,10.22804547225678,0,0,106,1988-2022
198802,202207,9,01-10-1988,1988-10-01,198810,40,1397.481123372912,0,11.63804271275148,0,0,106,1988-2022
198802,202207,9,01-10-1988,1988-10-01,198810,50,1578.947516150773,0,13.13628977874032,0,0,106,1988-2022
198802,202207,9,01-10-1988,1988-10-01,198810,60,1711.479840748012,0,14.178407374995,0,0,106,1988-2022
198802,202207,9,01-10-1988,1988-10-01,198810,70,1867.346308283508,0,15.53702778578008,0,0,106,1988-2022
198802,202207,9,01-10-1988,1988-10-01,198810,80,2153.732372634113,0,17.9520905435129,0,0,106,1988-2022
