date,quote_date,period,group,p,pWd,pWs,infl,inflW
1,198802,1988-2022,,2369.295757316053,0,19.64031618076115,0,0
1,198802,1988-2022,Bottom,1048.583313720922,0,8.55039587586119,0,0
1,198802,1988-2022,Middle,1395.944733895361,0,11.56636261019594,0,0
1,198802,1988-2022,Top,1814.79759986947,0,15.09760003867996,0,0
2,198803,1988-2022,,2294.206239022315,0,19.15436550199956,0,0
2,198803,1988-2022,Bottom,1064.407780617476,0,8.666828541756937,0,0
2,198803,1988-2022,Middle,1401.341671995819,0,11.59906050233258,0,0
2,198803,1988-2022,Top,1809.006092481315,0,15.06506112644032,0,0
3,198804,1988-2022,,2387.136696584523,0,19.86299448692444,0,0
3,198804,1988-2022,Bottom,1079.023389992615,0,8.800838208759766,0,0
3,198804,1988-2022,Middle,1425.05507389456,0,11.84032138910698,0,0
3,198804,1988-2022,Top,1848.956631479164,0,15.37159110603049,0,0
4,198805,1988-2022,,2378.688858158886,0,19.80855714179779,0,0
4,198805,1988-2022,Bottom,1085.573579589526,0,8.838513397109637,0,0
4,198805,1988-2022,Middle,1427.674000099301,0,11.87722915343329,0,0
4,198805,1988-2022,Top,1848.883328907192,0,15.34399041394984,0,0
5,198806,1988-2022,,2454.322373874485,0,20.35165370010509,0,0
5,198806,1988-2022,Bottom,1085.508583525817,0,8.839863415732301,0,0
5,198806,1988-2022,Middle,1445.735660269856,0,12.02992544946756,0,0
5,198806,1988-2022,Top,1878.500658340752,0,15.61044271305097,0,0
6,198807,1988-2022,,2413.370583795011,0,20.03547892171628,0,0
6,198807,1988-2022,Bottom,1073.972958197196,0,8.782010268403004,0,0
6,198807,1988-2022,Middle,1427.961632244289,0,11.88474460785073,0,0
6,198807,1988-2022,Top,1838.891403995454,0,15.2934214556905,0,0
8,198809,1988-2022,,2528.741066850722,0,20.962498810135,0,0
8,198809,1988-2022,Bottom,1116.029482424259,0,9.141621037805939,0,0
8,198809,1988-2022,Middle,1480.535624533892,0,12.33319197233504,0,0
8,198809,1988-2022,Top,1905.836520460745,0,15.83404565982103,0,0
9,198810,1988-2022,,2561.461514599621,0,21.25017114384536,0,0
9,198810,1988-2022,Bottom,1113.211741141975,0,9.131268174700381,0,0
9,198810,1988-2022,Middle,1488.214319761842,0,12.3871662457459,0,0
9,198810,1988-2022,Top,1910.852840555211,0,15.88917523476266,0,0
10,198811,1988-2022,,2515.491536207497,0,20.8624622319403,0,0
10,198811,1988-2022,Bottom,1135.137129162749,0,9.310289383092217,0,0
10,198811,1988-2022,Middle,1484.953425597399,0,12.35810585945001,0,0
10,198811,1988-2022,Top,1911.727194574972,0,15.88815054849692,0,0
11,198812,1988-2022,,2580.134268201888,0,21.37937799619249,0,0
11,198812,1988-2022,Bottom,1134.220923227568,0,9.327633083354158,0,0
11,198812,1988-2022,Middle,1487.822103377432,0,12.39496968249296,0,0
11,198812,1988-2022,Top,1924.533095292747,0,16.00269521628555,0,0
12,198901,1988-2022,,2592.874268330634,0,21.41794310206751,0,0
12,198901,1988-2022,Bottom,1107.005207657814,0,9.086703385354971,0,0
12,198901,1988-2022,Middle,1503.645453870296,0,12.51192449917289,0,0
12,198901,1988-2022,Top,1952.200299821794,0,16.21800134396229,0,0
14,198903,1988-2022,,2666.613571636379,0,22.13092384696211,1020.828627987066,.0959410899964723
14,198903,1988-2022,Bottom,1137.522742725909,0,9.40140637356914,772.4497043760493,.0764930216899605
14,198903,1988-2022,Middle,1562.141781784594,0,13.02534277921222,889.1123493784107,.0818660364525385
