date,date2,date4,quote_date,percentile,p,pWd,pWs,infl,period
1,01-02-1988,1988-02-01,198802,10,918.7298649996519,0,.7505823698784297,,1988-2022
1,01-02-1988,1988-02-01,198802,20,1061.056293927133,0,.8645450388767131,,1988-2022
1,01-02-1988,1988-02-01,198802,30,1165.96378223598,0,.9499913003792244,,1988-2022
1,01-02-1988,1988-02-01,198802,40,1316.780738458037,0,1.087833756876535,,1988-2022
1,01-02-1988,1988-02-01,198802,50,1475.108729332685,0,1.225438723217849,,1988-2022
1,01-02-1988,1988-02-01,198802,60,1629.207253225148,0,1.357575438593813,,1988-2022
1,01-02-1988,1988-02-01,198802,70,1795.144347541034,0,1.489209763019062,,1988-2022
1,01-02-1988,1988-02-01,198802,80,2020.041198842227,0,1.682494719939314,,1988-2022
1,01-02-1988,1988-02-01,198802,90,2369.295757316053,0,1.964031563137723,,1988-2022
2,01-03-1988,1988-03-01,198803,10,936.7235119119287,0,.7616454226017595,,1988-2022
2,01-03-1988,1988-03-01,198803,20,1070.713088206947,0,.87016798716013,,1988-2022
2,01-03-1988,1988-03-01,198803,30,1185.786741733551,0,.9682350853190655,,1988-2022
2,01-03-1988,1988-03-01,198803,40,1332.484059169888,0,1.097486224350178,,1988-2022
2,01-03-1988,1988-03-01,198803,50,1470.199284821749,0,1.222325841555175,,1988-2022
2,01-03-1988,1988-03-01,198803,60,1635.487487070262,0,1.362817486941822,,1988-2022
2,01-03-1988,1988-03-01,198803,70,1796.551180355251,0,1.492170937611263,,1988-2022
2,01-03-1988,1988-03-01,198803,80,1994.979610018432,0,1.66452981522616,,1988-2022
2,01-03-1988,1988-03-01,198803,90,2294.206239022315,0,1.915436497151859,,1988-2022
3,01-04-1988,1988-04-01,198804,10,943.7648659348488,0,.7681362936282312,,1988-2022
3,01-04-1988,1988-04-01,198804,20,1086.664463408291,0,.883832963486384,,1988-2022
3,01-04-1988,1988-04-01,198804,30,1206.640840634704,0,.9882821563633115,,1988-2022
3,01-04-1988,1988-04-01,198804,40,1363.116997003555,0,1.131724988362294,,1988-2022
3,01-04-1988,1988-04-01,198804,50,1486.993150785565,0,1.236339225925803,,1988-2022
3,01-04-1988,1988-04-01,198804,60,1649.577511407435,0,1.371405246140966,,1988-2022
3,01-04-1988,1988-04-01,198804,70,1828.679338820279,0,1.517636067158492,,1988-2022
3,01-04-1988,1988-04-01,198804,80,2068.613044209778,0,1.722435911827233,,1988-2022
3,01-04-1988,1988-04-01,198804,90,2387.136696584523,0,1.986299426546793,,1988-2022
4,01-05-1988,1988-05-01,198805,10,949.5198598951101,0,.7732447212410989,,1988-2022
4,01-05-1988,1988-05-01,198805,20,1098.4716264382,0,.8932895537955119,,1988-2022
4,01-05-1988,1988-05-01,198805,30,1208.729252435267,0,.9850196930901802,,1988-2022
4,01-05-1988,1988-05-01,198805,40,1365.583364263177,0,1.136536963048457,,1988-2022
