percentile,year,p,pWd,pWs,infl
10,1988,958.5903687670827,0,.7838162979433037,
20,1988,1100.783222148567,0,.8988663906226065,
30,1988,1221.32707356438,0,.9989950900739132,
40,1988,1373.447279071808,0,1.141271146287727,
50,1988,1519.600370062143,0,1.264150347381837,
60,1988,1678.948287785053,0,1.394247837129114,
70,1988,1843.934033855796,0,1.531934658853243,
80,1988,2084.713288146258,0,1.735702598659736,
90,1988,2448.2848894611,0,2.033078729683075,
10,1989,930.993224391883,0,.7662590307051108,-4.3991356
20,1989,1066.663000244986,0,.8789377041105333,-4.2569942
30,1989,1216.438427322968,0,1.007155756578455,-1.2065579
40,1989,1375.235924101011,0,1.148023387389995,-1.3486942
50,1989,1514.588486997241,0,1.266393672969819,-1.9571992
60,1989,1642.618511185727,0,1.374409056637639,-3.4762268
70,1989,1826.326934317974,0,1.529109299851205,-2.1790926
80,1989,2059.864420042119,0,1.721895310634119,-2.8787646
90,1989,2447.375392375345,0,2.03398829529686,-2.082109
10,1990,1092.696900889898,0,.8996608028628543,306.72256
20,1990,1275.313659279918,0,1.050147152331798,331.89655
30,1990,1439.332773906489,0,1.190275469393479,348.93018
40,1990,1629.282267092417,0,1.363097158299752,394.76355
50,1990,1773.907455659161,0,1.492593907584402,412.80951
60,1990,1938.887815520167,0,1.627479708863272,435.68921
70,1990,2164.597273121277,0,1.817988247657013,469.17191
80,1990,2410.424753737947,0,2.03137983679729,490.17044
90,1990,2884.732758611441,0,2.416524070890167,549.12537
10,1991,1147.593616534024,0,.9425978732627603,4.7607927
20,1991,1348.064694040765,0,1.107006929353702,5.4163141
30,1991,1565.949940630545,0,1.30645956328226,9.7417326
40,1991,1750.539268683642,0,1.475223660543331,8.2343616
50,1991,1947.664578409245,0,1.64046884297295,9.9053907
60,1991,2150.286961213996,0,1.810188339224321,11.217402
70,1991,2419.590525204937,0,2.040235807140865,12.228049
80,1991,2720.766602767011,0,2.296936551068635,13.067692
90,1991,3239.895497322703,0,2.728008843098375,12.860707
10,1992,1161.245829876512,0,.9565443686760773,1.5326303
20,1992,1389.440898071354,0,1.155341716700377,4.3926144
30,1992,1648.933118085687,0,1.389604155012497,6.4692945
40,1992,1805.659761240085,0,1.521950587505519,3.2083223
50,1992,2012.139687952275,0,1.705469008796399,3.9858565
60,1992,2258.886494001374,0,1.918944249588624,6.0302052
70,1992,2543.455684928223,0,2.157111418379448,5.7491412
80,1992,2901.54656657887,0,2.456377431664729,7.0194564
90,1992,3499.287475368629,0,2.941134140690944,7.8773184
10,1993,1165.863604576017,0,.9658022924317416,.9823432
