item_id,description,date_quote_s,date_quote_e,n_obs
210101,LARGE LOAF-WHITE-SLICED-800G,198802,200401,36039
210102,LARGE LOAF-WHITE-UNSLICED-800G,198802,202209,54094
210105,LARGE WHOLEMEAL LOAF-UNSLICED,198802,200301,27161
210106,SIX BREAD ROLLS-WHITE/BROWN,198802,202209,62580
210107,"BROWN LOAF,400G,SLICED-GRAN",198903,200401,29361
210108,PITTA BREAD,200002,201001,14605
210109,FRENCH STICK/BAGUETTE,200102,200501,5695
210110,LARGE WHOLEMEAL LOAF (SLICED),200302,200401,1506
210111,WHITE SLICED LOAF BRANDED 750G,200402,202209,31473
210112,BROWN SLICED LOAF BRANDED 400G,200402,200601,2719
210113,WHOLEMEAL SLICED LOAF BRANDED,200402,202209,30549
210114,CHILLED GARLIC BREAD,201002,202209,33309
210201,FLOUR-SELF-RAISING-1.5KG,198802,202209,58968
210202,RICE-LONG GRAIN-WHITE-500G,198802,200301,27513
210204,DRY SPAGHETTI OR PASTA 500G,198802,202209,80656
210205,MUESLI 500G - 1KG,198802,200601,30830
210206,CORN FLAKES,199601,199601,215
210208,BREAKFAST CEREAL 4,199601,199601,204
210209,BREAKFAST CEREAL 1 NOT MUESLI,199602,200601,20790
210210,BREAKFAST CEREAL 2 NOT MUESLI,200002,200601,10196
210211,CORN SNACK SINGLE PACK MAX 50G,200102,202209,60160
210212,BASMATI RICE 500G-1KG,200302,202209,30794
210213,BREAKFAST CEREAL 1,200602,202209,44000
210214,BREAKFAST CEREAL 2,200602,202209,44358
210215,CEREAL BAR,201002,202209,32605
210216,HOT OAT CEREAL,201202,202209,28928
210217,RICE MICRO POUCH/TRAY 220-280G,201602,202209,18537
210218,"POPCORN, BAG, 10-30G",201902,202209,7876
210219,BREAKFAST CEREAL GLUTEN FREE,202002,202209,5953
210221,COUSCOUS PLAIN/FLAVOURED,202102,202209,3214
210301,CREAM CRACKERS PACK 200G-300G,198802,202209,61812
210302,PLAIN BISCUITS-200-300G,198802,202209,65267
210304,CHOC COATED BISCUITS-200-300G,198802,200601,35870
210305,CHOC CTD BISCS-IND WRAPD 6-8PK,198802,200501,33923
210306,FRUIT SCONES,198802,200301,28415
210312,WHOLE CHOC CAKE-NOT FROZEN,198903,200001,18402
210316,ICED BUN-EACH,199102,199801,13093
210317,FRUIT PIES 4-6 PACK,199302,202001,42220
210318,FROZN CAKE/GATEAU NO ICE-CREAM,199502,200601,18229
210319,DOUGHNUT-EACH,199802,202201,36420
210320,WHOLE SPONGE CAKE NOT FROZEN,200002,202209,34668
210321,PACK OF 5-6 INDIVIDUAL CAKES,200302,202209,29214
210322,CHOCOLATE 11,200402,201701,21012
210323,BISCUITS HALF CHOC 260-400G,201702,202209,15384
210324,CRUMPETS PACK 6-9 SPEC NUMBER,202002,202209,6669
210403,HOME KILLED BEEF-LEAN MINCE KG,198802,202209,111945
210405,HOME KLLD BEEF-BRISKET NO BONE,198802,200001,34424
210406,HOME KLD BEEF-RUMP/POPES STEAK,198802,202209,107957
210407,HOME KILLED BEEF-STEWING STEAK,198802,200201,47235
210413,HOME KILLED BEEF-TOPSIDE KG,198903,202001,87460
210414,FROZEN BEEFBURGERS PACK OF 4,199202,202209,45664
210415,H-KILLED BEEF BRAISING STEAK,200202,201501,33209
210416,BEEF ROASTING JOINT PER KG,202002,202209,5490
210501,HOME KILLED LAMB-LOIN CHOPS KG,198802,201501,79194
210502,HOME KILLED LAMB-SHOULDER KG,198802,202101,77320
210503,HK LAMB LEG (WITH BONE),199601,199601,320
210504,"HOME-KILLED LAMB, CUT OR DICED",200002,200201,3667
210505,HOME KILLED MINCED LAMB KG,200402,200601,1062
210506,HK LAMB LOIN CHOP/STEAK PER KG,201502,202209,27206
210507,HOME KILLED LAMB SHOULDER KG,202102,202209,3732
210604,IMP LAMB LOIN CHOP-BONE PER KG,199002,200901,25196
210606,FRZEN IMP LAMB: LEG (PER KG),199002,202001,36143
