description,shareRising_12m,meanRise_12m,shareRising_1m,meanRise_1m,item_id
WOMENS SHOE,.58441556,.19892311,.066326529,.36390689,510533
WOMENS DRESS -CASUAL/FORMAL,.58436215,.45838019,.22302158,.40245995,510245
MEN'S T-SHIRT SHORT SLEEVED,.58403361,.6100359,.2062937,.71564198,510132
SCREWDRIVER,.58399999,.16999309,.10791367,.3194142,410625
ELECTRIC KETTLE - 1.5-1.7L,.58201057,.24789785,.12307692,.35217041,430307
JIGSAW MINIMUM 100 PIECES,.58088237,.14983937,.35507247,.10539534,630373
LAGER 4 BOTTLES- PREMIUM,.5808081,.16003977,.25,.13604741,310215
MENS JEANS,.57983196,.21878523,.069686413,.23261094,510106
GIRLS SKIRT FOR SCHOOL 5-13YRS,.5777778,.33446231,.088082902,.21094231,510336
MEN'S TRACKSUIT/JOGGIN BOTTOMS,.57608694,.28759184,.12322275,.32941416,510122
POTATOES-NEW-PER KG,.57377046,.34447867,.2610966,.20493418,212309
LAGER 10 - 24 CANS (440-500ML),.57352942,.17401975,.10769231,.284127,310216
BREAKFAST CEREAL 1,.5724138,.2142376,.2029703,.16275091,210213
MEN'S FOOTBALL BOOTS,.5714286,.5056408,.22972973,.21846038,630343
SELF TANNING PRODUCT,.57037038,.33162937,.12230216,.3330113,520253
BOTTLE STILL WATER 500ML,.5699482,.39315718,.1509434,.13788407,212021
WOODSCREWS STEEL/ZIN PLATED PK,.56989247,.25197619,.017094018,.10166235,410638
ACTION CAMERA,.56976742,3.9220572,.10810811,.14687088,630377
WILD BIRD SEED PACK 500G-2KG,.56910568,.28163227,.030303031,.42016244,430625
FORTIFIED WINE  (70-75CL),.56770831,.12229505,.086486489,.21621732,310406
TOOTHPASTE (SPECIFY SIZE),.56603771,.54687649,.16935484,.58047867,520209
SMALL TYPE ORANGES PER PACK/KG,.56497175,.37209496,.16176471,.27225342,212725
CAR REPAIRS LOCAL GARAGE,.56451613,.14452127,.037037037,.11825395,610236
MASCARA,.56349206,.45256293,.034482758,.2391907,520223
BOOK - FICTION - HARD COVER,.56349206,.20712228,.14473684,.42212403,630435
INDIGESTION TABLETS 16-24 PACK,.56321841,.67420447,.14285715,.09410999,520202
CINEMA POPCORN,.5625,.086367212,.036585364,.091982916,220324
WOMEN'S NIGHTDRESS/PYJAMAS,.56018519,.34040719,.27380952,.33537748,510405
WOMEN'S SKIRT: WORK/FORMAL,.55963302,.5730561,.22040816,.58165342,510238
PRE-PACKED SALAD 100-250G,.55833334,.18073885,.084905662,.27499834,212527
HK LAMB LOIN CHOP/STEAK PER KG,.5572139,.10120745,.068825908,.058992479,210506
MATTRESS- 3FT/90CM,.55555558,.34344053,.2525773,.24196145,430132
FABRIC CONDITIONER 500ML-1.5LT,.55339807,.35787159,.2020202,.42907509,430531
ELECTRIC TOOTHBRUSH,.55272728,.46087268,.15277778,.68367159,430363
LEMONADE/COLA DRAUGHT,.54913294,.19081196,.19313304,.068772659,310311
"DINNER PLATE, APPROX DIAMETER",.54838711,.31031623,.10483871,.1872582,430425
WOMEN'S CARDIGAN,.54751134,.42704353,.15748031,.38342047,510233
EXERCISE CLASS UPTO 1HR,.5472973,.10057478,.043478262,.07632798,640222
CHILD'S PLASTIC DOLL,.54385966,.35106859,.22137405,.44912311,630312
WOMENS LEGGINGS FULL LENGTH,.54310346,.49212313,.070038907,.39838392,510258
BLACK INKJET CARTRIDGE,.54237288,.20379412,.046632126,.21005002,430530
MONTHLY SELF STORAGE FEE,.54205608,.16070585,.061946902,.093122154,440127
BEGINNER'S ACOUSTIC GUITAR,.54166669,.17067614,.084745765,.11833616,630342
BOYS T-SHIRT 3-13 YEARS,.54010695,.65548551,.14285715,.26515073,510348
DINING TABLE & 2-6 CHAIRS,.5398773,.38312995,.18224299,.19523026,430141
WOMEN'S JUMPER,.53846157,.64904767,.18315019,.54159111,510212
BATH SHEET,.53846157,.27812737,.13274336,.33587939,430228
"BAKEWARE, METAL, TRAY/ROASTING",.53809524,.44988278,.06465517,.13951062,430424
HOUSE CONVEYANCING,.53787881,.23463708,.069930069,.16658749,440249
CHILDS BICYCLE,.53741497,.26920873,.11170213,.1820917,620317
SECONDARY SCHOOL- CAFETERIA,.53676468,.10275825,0,,220210
WOMEN'S SWEATSHIRT,.53612167,.38578698,.14237288,.26222679,510261
WOMEN'S TROUSERS-CASUAL,.53571427,.39150956,.18050541,.38515204,510235
WASHING UP LIQUID 380-900ML,.53333336,.46278563,.21232876,.37472671,430507
MENS JACKET/COAT,.53333336,.40753287,.13653137,.49026594,510104
COFFEE TABLE,.53086418,.4917272,.17757009,.19887982,430120
TEN-PIN BOWLING PER GAME,.530303,.057953827,.029850746,.050606079,640224
BOTTLE OF MIXER 125-200ML,.52972972,.16352519,.05078125,.10043439,310306
MEN'S JUMPER-KNITTED,.52941179,.37809792,.13127413,.33910778,510108
EARRINGS- FASHION,.52857143,.67556709,.055555556,.38544881,520123
NAIL VARNISH BOTTLE 6 - 14mls,.5272727,.15332569,.033149172,.27923661,520250
TOOTHBRUSH,.52604169,.44831762,.22844827,.68601924,520244
MENS BRANDED T-SHIRT,.52542371,.28953212,.19285715,.20360984,510126
WOMEN'S FORMAL JACKET,.52314812,.39255291,.15267175,.76307142,510208
SQUASH/TENNIS RACQUET,.52272725,.38949779,.13636364,.18423647,630357
SCISSORS - HOUSEHOLD,.52173913,.40126425,0,,430409
PUSHCHAIR/STROLLER,.51999998,.18934746,.13978495,.2932401,620304
MEN'S JUMPER OR SWEATSHIRT,.51898736,.31086558,.087412588,.35737893,510120
DIAMOND SOLITAIRE RING,.51612902,.56501746,.066298343,.25975356,520135
HOME OFFICE DESK,.51546389,.29903775,.064748198,.19431892,430138
BABY WIPES 50-85,.51530612,.26655629,.044642858,.31908169,520249
DOOR HANDLE-PACK FOR ONE DOOR,.5151515,.26374826,.068376072,.11019903,410611
SELF-DRIVE VAN HIRE,.5131579,.19025756,.042372882,.31579772,620303
MEN'S TIE,.50943398,.57986134,.048672568,.28481615,510419
"SMALL SAUCEPAN,MILK",.50704223,.33510485,.035714287,.065046586,430407
WOMEN'S SKIRT: CASUAL,.50678736,.74388456,.23673469,.67568493,510237
VEGETABLE STIR FRY FRESH PACK,.50561798,.21997942,.0054945056,.034482725,212533
LADY'S UMBRELLA -FOLDING,.50387597,.25038889,.061538462,.13527039,520103
SHOWER GEL 150-250ML,.50381678,.52249753,.29801324,.68588406,520238
HIGH CHAIR,.50375938,.2118744,.26875001,.094762996,430142
DVD/BLU RAY PLAYER,.50344825,1.0159515,.035460994,.076765046,630164
ELECTRONIC EDUCATIONAL TOY,.5,.34549683,.038961038,.2500726,630368
WOMEN'S SHOWERPROOF JACKET,.5,.30098295,.13636364,.36299643,510256
CHARCOAL BBQ NOT DISPOSABLE,.5,.27225563,,,630369
BRANDY 70CL BOTTLE,.5,.14405875,.077669904,.22037473,310405
WOMEN'S COAT - SEE HELP SCREEN,.49489796,.43381119,.20444444,.3807258,510250
CLEAR STICKY TAPE,.49137932,.34171304,.019736841,.2577644,430525
ELECTRIC HAIR STYLING APP,.49044585,.56693387,.14534883,.44285887,430351
PRIMARY SCHOOL- FIXED CHARGE,.4852941,.062772319,0,,220209
CONDITIONER FOR HAIR,.48186529,.56563544,.17647059,.38635805,520248
THEATRE ADULT EVES-FRONT STLLS,.48076922,.19594903,.34782609,.3196052,640212
DUVET COVER,.48022598,.23303108,.019417476,.34261811,430216
RUM WHITE EG BACARDI 70CL BOTT,.47761193,.17971015,.10576923,.11219808,310427
PRIVATE DENTAL EXAMINATION,.47517732,.1898358,.065359481,.096674435,520326
FITTED BED SHEET,.47448981,.16025545,.041284405,.20318893,430224
WOMEN'S SWIMWEAR,.46951219,.22648078,.065476194,.21950956,510409
MEN'S FORMAL RDY-MADE TROUSERS,.46948355,.24395582,.073800735,.17940162,510117
NECKLACE FASHION APX 16/20 INS,.46938777,.79005301,.13407822,.43260151,520140
WOMEN'S JEANS- BRANDED,.46753246,.47857109,.125,.38848791,510249
CUT FLOWERS-CARNATIONS-STEM,.46739131,.58386081,.0990991,.14341609,630518
BLUEBERRIES PUNNET OR PER KG,.46692607,.39345664,.45848376,.20507585,212733
"BRA, CUP SIZE A-D RANGE",.46601942,.28782853,.12840466,.1919332,510407
WOMEN'S LONG SLV TOP-NT BLOUSE,.46460176,.56198043,.15471698,.32346433,510223
CD ALBUM (TOP 40),.46153846,.21726191,.27272728,.5714286,630230
BOYS JEANS (5-13 YEARS),.45971563,.28294149,.23809524,.22945224,510328
WOMEN'S CASUAL OUTER JACKET,.45957446,.40743181,.15969582,.47244912,510219
RASPBERRIES PUNNET OR PER KG,.45851529,.22871444,.22878228,.16988513,212734
BOY'S SHOES,.45789474,.16002361,.23430963,.12040972,510507
"SLEEPING BAG, ADULT",.45714286,.75038517,.28999999,.26401925,630317
BABY SLEEPSUIT LONG SLEEVE,.45662099,.55191278,.12451362,.22914195,510330
WOMEN'S TIGHTS,.45508981,.86968273,.13733906,.18938451,510415
WOMENS BLOUSE / SHIRT 2,.45378152,.35093194,.1884058,.46440116,510257
CEREAL BAR,.44973546,.27202657,.20187794,.26379836,210215
TROUSERS  FOR SCHOOL 5-13 YRS,.44827586,.28892845,.043859649,.34692469,510324
BALL POINT,.44736841,.43713766,.15135135,.63488382,430503
TABLE LAMP,.44444445,.7034936,.089552239,.3644101,430322
GIRL'S SHOES SCHOOL,.44134077,.18723531,.16450216,.12729558,510508
PRIVATE HEALTH CLUB ANNUAL FEE,.43809524,.14691028,.044247787,.045326613,640226
GIRLS FASHION TOP 12-13 YEARS,.4379085,.50754291,.3051948,.2375631,510340
FRUIT PASTILLES 2,.43661973,.15908533,.23076923,.15326725,212214
MEN'S SHOE CASUAL STYLE,.43125001,.61565095,.085714288,.26785067,510515
HIRE OF DOMES CARPET CLEANER,.43076923,.23123993,.065217391,.13670683,410632
PACKET OF PEANUTS 150-300G,.43023255,.09799365,.1773399,.064642958,212806
CANVAS FASHION ADULT SHOE/TRAI,.42857143,.41408584,.20121951,.21157569,510535
"CHILDS BOOK, FICTION 6-12YRS",.42857143,.17118189,.053333335,.13316867,630440
"EVENT CATERING, SET MENU, COST",.42708334,.19090579,.028037382,.24078141,440121
WOMENS EXERCISE LEGGINGS,.42639595,.54835731,.11059908,.23319419,510260
"TELEVISION 40"" OR LARGER",.42616034,.4336682,.25416666,.15176831,630160
SWEET POTATO PER KG OR EACH,.42447916,.22445245,.019396551,.17018421,212535
BOOK - TEENAGE FICTION,.42307693,.16565916,.140625,.079401784,630437
COMPUTER GAME 1,.42105263,.359375,.16666667,.125,630378
MENS SOCKS 1 PAIR,.41904762,.2657643,.21686748,.15507446,510413
STAINLESS STEEL CUTLERY SET,.41666666,.28170905,.0064516128,.5005005,430419
HOME REMOVAL- 1 VAN,.41237113,.30196673,.028301887,.1671795,440123
COMPUTER GAME 2,.41176471,.19822474,.25,.29340827,630379
PHONE NT MOBILE(SPEC DIG/ANAL),.40689656,.32691824,.17391305,.40025541,430323
NON NHS CHIROPRACTOR,.40601504,.11442799,.04225352,.06434536,520332
KIWI FRUIT-EACH,.40590405,.36048847,.065359481,.38591605,212712
HOME-BUYERS SURVEY-RSDNTL PPTY,.4050633,.12237287,.025641026,.048148148,440226
ADULT BIKE,.40425533,.26439488,.11330049,.23704204,620318
DOMESTIC CLEANER HOURLY RATE,.40322581,.17002062,.0070422534,.071428575,440101
BASIC MANICURE,.40298507,.18941636,.035714287,.13370371,520331
CARBON FIBRE FISHING ROD,.40000001,.3273921,.11320755,.19408277,630340
MDF,.40000001,.17458984,.073770493,.12728778,410633
LIVERY CHARGES PER WEEK,.40000001,.094351411,.02020202,.15956099,640240
CAR PARK CHARGES,.39716312,.21221833,.021857923,.15133286,620315
NON-NHS MEDICINE-PHYSIOTHERAPY,.3951613,.085896783,.036231883,.12925926,520313
BASIC WILL FOR A SINGLE PERSON,.39393941,.32748139,.02739726,.19636364,440240
HEADPHONES/EARPHO SPECIFY TYPE,.3938224,.46865243,.18705036,.54203862,630156
WALL HANGING MIRROR UPTO 1.5SQ,.39310345,.47176528,.087628864,.27362859,520132
PHOTO FRAME,.39285713,.89982551,.056737587,.67085832,520136
HOUSEPLANT,.39252338,.36297217,.084112152,.4160673,630507
BOOK-NON-FICTION-PAPER-BACK,.39175257,.30327293,.13669065,.28863662,630426
MENS BASE LAYER TOP LONG/SHORT,.3877551,.4838208,.076190479,.49629787,510433
CHILDS SCOOTER AGE 5-12 YEARS,.38582677,.15263776,.0071942448,.037037037,630374
ANIMAL CAGE (E.G FOR GERBIL),.37878788,.30622742,.10989011,.19909298,430617
WOMEN'S TRAINING SHOES,.37037036,.2115258,.068376072,.39239725,510517
WOMENS SHORT SLEEVE FORMAL TOP,.36915886,.70235467,.14522822,.65989584,510259
GIRLS LEGGINGS 5-13 YEARS,.36563876,.41271424,.13448276,.26692954,510349
CRAFT KIT FOR CHILD 5 YRS+,.36440679,.38328665,.25185186,.29528871,630365
CYCLE HELMET 12+ SPEC ROAD/MOU,.36263737,.19873272,.13636364,.1463863,620319
HOURLY RATE FOR SOLICITOR,.36000001,.18543771,.012658228,.71428573,440254
"HAT/CAP, ADULT",.359375,.30205518,.39240506,.48096067,510434
CURTAINS READY MADE SP'FY SIZE,.35582823,.24592996,.027777778,.38088891,430236
VACUUM CLEANER,.35393259,.17787507,.24423963,.25674599,430355
MODEL RD VEHICLE EG HOT WHEELS,.35294119,.32616323,.061538462,.3813442,630313
MENS 3/4 TO FULL LENGTH COAT,.35164836,.68737537,.075862072,.33107996,510130
DIGITAL RADIO (DAB),.34920636,.19746408,.012987013,.25522572,630138
RE-USABLE BOTTLE/MUG ADULT,.34640524,.42422694,.037234042,.22185263,520142
LADY'S SCARF,.33587787,1.4059906,.17857143,.41793948,510432
SELF-DRIVE CAR HIRE BASIC 24HR,.33500001,.37888527,.085201792,.25566739,620307
LEMON EACH,.33414045,.41262949,.1814346,.3349382,212732
CAR WASH HAND OR AUTOMATIC,.33333334,.3298797,.009615385,.14285715,610238
FOOTBALL,.32941177,.32987234,.01904762,.35877723,630336
ELECTRIC HEATER -SEASONAL,.32857144,.72905725,.13793103,.1,430358
FLOWER VASE,.32631579,.40896112,.13274336,.24001671,520118
APPLES-DESSERT-PER KG,.32631579,.28889585,.26068377,.17533734,212717
LIQUID FOUNDATION 30-35ML,.32374102,.2733551,.060240965,.22014293,520243
RAZOR CARTRIDGE BLADES,.31632653,.1081344,.13761468,.16767049,520241
WASHING MACHINE REPAIR,.31578946,.14734349,.055045873,.068084106,440116
BOXED BOARD GAME: NOT TRAVEL,.31182796,.333271,.34313726,.37073284,630309
CAR BULB 12 VOLT SPECIFY WATTS,.30769232,.65588337,.077586204,.068926826,610237
CHILD MINDER - HOURLY RATE,.30357143,.14398392,.022727273,.11993464,440120
"CAR MOT TEST FEE, VAT EXEMPT",.29577464,.12677839,.029801324,.14257352,610227
PRESCHOOL ACTIVITY TOY,.29126215,.72581387,.14754099,.38531306,630341
SPECTACLE FRAMES WITH LENSE,.28735632,.1821571,.034782607,.42623019,520138
PORTABLE DIGITAL STORAGE DEVIC,.2857143,.35133937,.10240964,.083686702,630358
CHILD'S SOFT TOY/TEDDY BEAR,.28455284,.27356711,.045454547,.12989977,630332
PLAYGROUP FEES - PER SESSION,.27956989,.16606955,.016000001,.3287037,440129
SHEET OF WRAPPING PAPER,.27922079,.33885011,.015463918,.22601008,430535
STERLING SILVER EARRINGS,.27731094,.82192975,.060975611,.20706256,520137
MOBILE PHONE ACCESSORY,.27238807,.68211555,.087947883,.15607119,520141
PLASTIC FOOD STORAGE CONTAINER,.26923078,.2622208,.055555556,.28430045,430418
DAILY DISPOSABLE SOFT LENSES,.26086956,.29338977,.051282052,.20528208,520139
WINDOW-CLEAN 3-BED SEMI,.25657895,.17954361,.01764706,.16919193,440113
WEEKLY NANNY FEES,.25,.30779469,.025641026,.2,440126
BOOK FICTION P/BACK TOP 10,.24840765,.17187899,.050000001,.30873865,630439
CONSTRUCTION TOY: SPEC KIT NO,.24509804,.41933605,.065420561,.20439568,630314
POTTED SHRUB,.24444444,.56614292,.13953489,.30288613,630519
GREETINGS CARD; STATE CODE,.24137931,.29874152,.031818181,.24917608,430526
BOOK ILLUSTRATED FOR UNDER 5,.19626169,.2121889,.023809524,.22273265,630434
E-CIG REFILL BOTTL/CART 2-10ML,.19209039,.56654626,.010204081,.050517835,320124
"SEEDS,PKT,SPEC VAR(SEASONAL)",.1724138,.47775984,.010204081,.33333334,630526
PEARS-DESSERT-PER KG,.16964285,.17793716,.125,.080091752,212718
"TELEVISION 39"" OR SMALLER",.16901408,.23254471,.2265625,.13809712,630159
LIP GLOSS,.16883117,.15967,.010869565,.11111111,520246
PORTABLE DIGITAL MUSIC PLAYER,.16438356,.27277678,0,,630165
CARPENTER HOURLY RATE,.1627907,.20348014,0,,410518
FABRIC ROLLER BLIND 120-180CM,.14285715,.20080347,.023255814,.40108255,430229
LIGHT BULB,.13513513,.35401264,.19512194,.28458345,430524
PC REPAIR,.12781955,.18862483,.021582734,.20649718,440118
DECORATOR-DAILY RATE;SPEC HRS,.11650486,.1914089,.009708738,.041666668,410517
PLUMBER-DAYTIME HOURLY RATE,.10619469,.12161185,.0083333338,.06666667,410508
WATCH BATTERY REPLACEMENT,.09565217,.4979718,.0060606059,.07272727,440131
ELECTRICIAN-DAYTIME RATE/HOUR,.078571431,.11567447,.0071428572,.14285715,410509
KEROSENE - 1000L DELIVERED,.07272727,.028277822,.097826086,.032002382,420405
BLU RAY DISC (FILM) FROM CHART,.0625,.60000002,.25,.6857143,630233
SMALL CAGED MAMMAL,.050000001,.69451857,0,,430623
PRE-RECORDED DVD (FILM),0,,.050000001,.42857143,630228
